Timestamp,Date,Time,Vertical,Crab Legolas PTS,Crab Legolas PROJ,Crab Legolas WPCT,Two Minute Excadrill PTS,Two Minute Excadrill PROJ,Two Minute Excadrill WPCT,Island of Misfit Boys PTS,Island of Misfit Boys PROJ,Island of Misfit Boys WPCT,Neon Cactus TNF PTS,Neon Cactus TNF PROJ,Neon Cactus TNF WPCT,The Mania PTS,The Mania PROJ,The Mania WPCT,Mean Bean Disappointments PTS,Mean Bean Disappointments PROJ,Mean Bean Disappointments WPCT,NoRtHwEsTeRn WaLk SiGn PTS,NoRtHwEsTeRn WaLk SiGn PROJ,NoRtHwEsTeRn WaLk SiGn WPCT,Sandbaggers PTS,Sandbaggers PROJ,Sandbaggers WPCT,Jake the Dog PTS,Jake the Dog PROJ,Jake the Dog WPCT,Carrie's Quads PTS,Carrie's Quads PROJ,Carrie's Quads WPCT,The Chop Block PTS,The Chop Block PROJ,The Chop Block WPCT,Third Down Syndrome PTS,Third Down Syndrome PROJ,Third Down Syndrome WPCT
1665945716,2022-10-16,11:41:56,123.50,113.61,0,126.00,117.02,1,147.50,119.28,1,91.50,107.84,1,89.00,106.55,0,114.00,118.36,0,105.50,95.68,0,90.00,114.28,0,96.50,119.00,1,118.00,114.36,0,124.50,122.72,1,131.50,101.35,1
1759187783,2025-09-29,16:16:23,,88.52,115.67,0.01,96.54,114.45,0.09000000000000008,113.02,111.47,0.99,151.90,121.33,0.48,129.46,105.07,0.9099999999999999,107.56,112.79,0.8,69.90,111.21,0.010000000000000009,85.50,110.83,0.19999999999999996,55.30,113.12,0.050000000000000044,106.84,110.43,0.95,128.08,123.16,0.52,138.60,111.73,0.99
1759188070,2025-09-29,16:21:10,,88.52,115.67,0.01,96.54,114.45,0.09000000000000008,115.20,111.47,0.99,151.90,121.33,0.5,129.46,105.07,0.9099999999999999,107.56,112.79,0.81,69.90,111.21,0.010000000000000009,85.50,110.83,0.18999999999999995,56.10,113.12,0.040000000000000036,106.84,110.43,0.96,128.08,123.16,0.5,138.60,111.73,0.99
1759188373,2025-09-29,16:26:13,,88.52,115.67,0.01,96.54,114.45,0.09000000000000008,115.20,111.47,0.99,151.90,121.33,0.5,129.46,105.07,0.9099999999999999,107.56,112.79,0.8200000000000001,69.90,111.21,0.010000000000000009,85.50,110.83,0.17999999999999994,56.80,113.12,0.040000000000000036,106.84,110.43,0.96,128.08,123.16,0.5,138.60,111.73,0.99
1759188674,2025-09-29,16:31:14,,88.52,115.67,0.01,96.54,114.45,0.09000000000000008,115.20,111.47,0.99,151.90,121.33,0.52,129.46,105.07,0.9099999999999999,107.56,112.79,0.8,69.90,111.21,0.010000000000000009,87.60,110.83,0.19999999999999996,59.50,113.12,0.040000000000000036,106.84,110.43,0.96,128.08,123.16,0.48,138.60,111.73,0.99
1759188976,2025-09-29,16:36:16,,88.52,115.67,0.01,96.54,114.45,0.09000000000000008,115.20,111.47,0.99,151.90,121.33,0.54,129.46,105.07,0.9099999999999999,107.56,112.79,0.8,69.90,111.21,0.010000000000000009,88.00,110.83,0.19999999999999996,59.90,113.12,0.030000000000000027,106.84,110.43,0.97,128.08,123.16,0.45999999999999996,138.60,111.73,0.99
1759189278,2025-09-29,16:41:18,,88.52,115.67,0.01,96.54,114.45,0.09000000000000008,116.96,111.47,0.99,151.90,121.33,0.55,129.46,105.07,0.9099999999999999,107.56,112.79,0.81,69.90,111.21,0.010000000000000009,88.00,110.83,0.18999999999999995,60.50,113.12,0.020000000000000018,106.84,110.43,0.98,128.08,123.16,0.44999999999999996,138.60,111.73,0.99
1759189580,2025-09-29,16:46:20,,88.52,115.67,0.01,96.54,114.45,0.09000000000000008,119.00,111.47,0.99,151.90,121.33,0.56,129.46,105.07,0.9099999999999999,107.56,112.79,0.8200000000000001,69.90,111.21,0.010000000000000009,88.00,110.83,0.17999999999999994,61.00,113.12,0.020000000000000018,106.84,110.43,0.98,128.08,123.16,0.43999999999999995,138.60,111.73,0.99
1759189883,2025-09-29,16:51:23,,88.52,115.67,0.01,96.54,114.45,0.09000000000000008,124.58,111.47,0.99,151.90,121.33,0.59,129.46,105.07,0.9099999999999999,107.56,112.79,0.8300000000000001,69.90,111.21,0.010000000000000009,88.00,110.83,0.16999999999999993,61.00,113.12,0.010000000000000009,106.84,110.43,0.99,128.08,123.16,0.41000000000000003,138.60,111.73,0.99
1759190185,2025-09-29,16:56:25,,88.52,115.67,0.01,96.54,114.45,0.09000000000000008,128.82,111.47,0.99,151.90,121.33,0.6,129.46,105.07,0.9099999999999999,107.56,112.79,0.8400000000000001,69.90,111.21,0.010000000000000009,88.00,110.83,0.15999999999999992,61.70,113.12,0.010000000000000009,106.84,110.43,0.99,128.08,123.16,0.4,138.60,111.73,0.99
1759190487,2025-09-29,17:01:27,,88.52,115.67,0.01,96.54,114.45,0.09000000000000008,128.82,111.47,0.99,151.90,121.33,0.6,129.46,105.07,0.9099999999999999,107.56,112.79,0.8,69.90,111.21,0.010000000000000009,90.30,110.83,0.19999999999999996,61.70,113.12,0.010000000000000009,106.84,110.43,0.99,128.08,123.17,0.4,138.60,111.73,0.99
1759190789,2025-09-29,17:06:29,,88.52,115.67,0.01,96.54,114.45,0.09000000000000008,128.82,111.47,0.99,151.90,121.33,0.62,129.46,105.07,0.9099999999999999,107.56,112.79,0.8,69.90,111.21,0.010000000000000009,90.70,110.83,0.19999999999999996,62.22,113.12,0.010000000000000009,106.84,110.43,0.99,128.08,123.17,0.38,138.60,111.73,0.99
1759191091,2025-09-29,17:11:31,,88.52,115.67,0.01,96.54,114.45,0.09000000000000008,128.82,111.47,0.99,151.90,121.33,0.59,129.46,105.07,0.9099999999999999,107.56,112.79,0.81,69.90,111.21,0.010000000000000009,90.70,110.83,0.18999999999999995,60.54,113.12,0.010000000000000009,106.84,110.43,0.99,129.38,123.17,0.41000000000000003,138.60,111.73,0.99
1759191393,2025-09-29,17:16:33,,88.52,115.67,0.01,96.54,114.45,0.09000000000000008,129.46,111.47,0.99,151.90,121.33,0.6,129.46,105.07,0.9099999999999999,107.56,112.79,0.8200000000000001,69.90,111.21,0.010000000000000009,90.70,110.83,0.17999999999999994,60.44,113.12,0.010000000000000009,106.84,110.43,0.99,139.38,123.17,0.4,138.60,111.73,0.99
1759191695,2025-09-29,17:21:35,,88.52,115.67,0.01,97.04,114.45,0.09000000000000008,129.82,111.47,0.99,151.90,121.33,0.61,129.46,105.07,0.9099999999999999,109.36,112.79,0.85,69.90,111.21,0.010000000000000009,91.10,110.83,0.15000000000000002,60.44,113.12,0.010000000000000009,106.84,110.43,0.99,139.38,123.17,0.39,138.60,111.73,0.99
1759191997,2025-09-29,17:26:37,,88.52,115.67,0.01,97.04,114.45,0.07000000000000006,129.82,111.47,0.99,151.90,121.33,0.72,129.46,105.07,0.9299999999999999,110.16,112.79,0.8200000000000001,69.90,111.21,0.010000000000000009,93.80,110.83,0.17999999999999994,61.16,113.12,0.010000000000000009,109.84,110.43,0.99,136.38,123.17,0.28,138.60,111.73,0.99
1759192299,2025-09-29,17:31:39,,88.52,115.67,0.01,97.04,114.45,0.07000000000000006,129.82,111.47,0.99,151.90,121.33,0.6799999999999999,129.46,105.07,0.9299999999999999,110.16,112.79,0.8200000000000001,70.20,111.21,0.010000000000000009,94.00,110.83,0.17999999999999994,61.76,113.12,0.010000000000000009,109.84,110.43,0.99,137.98,123.17,0.32000000000000006,138.60,111.73,0.99
1759192601,2025-09-29,17:36:41,,88.52,115.67,0.01,97.04,114.45,0.06000000000000005,129.82,111.47,0.99,151.90,121.33,0.6799999999999999,129.46,105.07,0.94,110.66,112.79,0.8300000000000001,70.20,111.21,0.010000000000000009,94.00,110.83,0.16999999999999993,61.76,113.12,0.010000000000000009,109.84,110.43,0.99,137.98,123.17,0.32000000000000006,138.60,111.73,0.99
1759192903,2025-09-29,17:41:43,,88.52,115.67,0.01,98.04,114.45,0.06000000000000005,129.82,111.47,0.99,151.90,121.33,0.69,129.46,105.07,0.94,110.96,112.79,0.8400000000000001,70.20,111.21,0.010000000000000009,94.00,110.83,0.15999999999999992,61.76,113.12,0.010000000000000009,109.84,110.43,0.99,137.98,123.17,0.31000000000000005,138.60,111.73,0.99
1759193205,2025-09-29,17:46:45,,88.52,115.67,0.01,98.04,114.45,0.06000000000000005,129.82,111.47,0.99,151.90,121.33,0.69,129.46,105.07,0.94,110.96,112.79,0.81,70.20,111.21,0.010000000000000009,95.82,110.83,0.18999999999999995,61.76,113.12,0.010000000000000009,109.84,110.43,0.99,137.98,123.17,0.31000000000000005,138.60,111.73,0.99
1759193507,2025-09-29,17:51:47,,88.52,115.67,0.01,98.04,114.45,0.050000000000000044,131.72,111.47,0.99,151.90,121.33,0.71,129.46,105.07,0.95,111.96,112.79,0.69,70.70,111.21,0.010000000000000009,102.42,110.83,0.31000000000000005,61.86,113.12,0.010000000000000009,109.84,110.43,0.99,137.98,123.17,0.29000000000000004,138.60,111.73,0.99
1759193810,2025-09-29,17:56:50,,88.52,115.67,0.01,98.04,114.45,0.050000000000000044,136.08,111.47,0.99,151.90,121.33,0.72,129.46,105.07,0.95,112.06,112.79,0.7,70.70,111.21,0.010000000000000009,102.42,110.83,0.30000000000000004,63.36,113.12,0.010000000000000009,109.84,110.43,0.99,137.98,123.17,0.28,138.60,111.73,0.99
1759194112,2025-09-29,18:01:52,,88.52,115.67,0.01,98.04,114.45,0.040000000000000036,136.08,111.47,0.99,151.90,121.33,0.73,129.46,105.07,0.96,112.56,112.79,0.71,70.70,111.21,0.010000000000000009,102.92,110.83,0.29000000000000004,63.36,113.12,0.010000000000000009,109.84,110.43,0.99,137.98,123.17,0.27,138.60,111.73,0.99
1759194414,2025-09-29,18:06:54,,88.52,115.67,0.01,99.54,114.45,0.050000000000000044,136.08,111.47,0.99,151.90,121.33,0.75,129.46,105.07,0.95,112.56,112.79,0.71,70.70,111.21,0.010000000000000009,102.92,110.83,0.29000000000000004,75.66,113.12,0.010000000000000009,109.84,110.43,0.99,137.98,123.17,0.25,138.60,111.73,0.99
1759194716,2025-09-29,18:11:56,,88.52,115.67,0.01,99.54,114.45,0.040000000000000036,137.36,111.47,0.99,151.90,121.33,0.78,129.46,105.07,0.96,112.56,112.79,0.69,70.70,111.21,0.010000000000000009,104.36,110.83,0.31000000000000005,75.66,113.12,0.010000000000000009,109.84,110.43,0.99,137.98,123.17,0.21999999999999997,138.60,111.73,0.99
1759195019,2025-09-29,18:16:59,,88.52,115.67,0.01,99.54,114.45,0.030000000000000027,137.64,99.32,0.99,151.90,121.33,0.79,129.46,105.07,0.97,113.56,112.79,0.7,70.70,111.21,0.010000000000000009,105.24,110.83,0.30000000000000004,82.56,113.12,0.010000000000000009,109.84,110.43,0.99,137.98,123.17,0.20999999999999996,138.60,111.73,0.99
1759195321,2025-09-29,18:22:01,,88.52,115.67,0.01,99.54,114.45,0.030000000000000027,137.64,99.32,0.99,151.90,121.33,0.8200000000000001,129.46,105.07,0.97,113.56,112.79,0.71,70.70,111.21,0.010000000000000009,105.64,110.83,0.29000000000000004,83.00,113.12,0.010000000000000009,109.84,110.43,0.99,137.98,123.17,0.17999999999999994,138.60,111.73,0.99
1759195623,2025-09-29,18:27:03,,88.52,115.67,0.01,99.54,114.45,0.030000000000000027,137.64,99.32,0.99,151.90,121.33,0.8300000000000001,129.46,105.07,0.97,113.56,112.79,0.72,71.60,111.21,0.010000000000000009,105.56,110.83,0.28,83.20,113.12,0.010000000000000009,109.84,110.43,0.99,137.98,123.17,0.16999999999999993,138.60,111.73,0.99
